Gene,mannwhitneyu pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,l2fc
Chrna7,0.0008284295480752406,0.9999999861561837,0.9999948980588198,1.0,0.5,0.5,0.0025330756118567797,0.026770713933774126,0.0011122376060671863,0.0011819801362525717,0.10478780487804773
Chrna9,0.000480813379246159,0.9999724801759992,0.9993351085238542,1.0,0.5,0.5,0.001584109011008505,0.016741596253629823,0.0006955598190225583,0.0007391746917883256,0.18015182926829354
Chrnb1,0.011125856189028558,1.0,1.0,1.0,0.5,0.5,0.02304184640897208,0.2435168835202653,0.01011734824232002,0.010751753572023856,-0.0848621951219517
Chrnb2,0.00044930234785980796,0.9999452247422398,0.9989624727715705,1.0,0.5,0.5,0.0014967515724850322,0.015818362463942467,0.0006572024056706972,0.0006984120881750197,0.137088414634146
Chrnb3,1.678832119978078e-06,0.035991966863527014,0.031121239441952997,0.03161576648342716,0.03161576648342716,0.02503306574099312,1.2203822340095053e-05,0.00012897563548283,5.358525454542973e-06,5.694530208584749e-06,-0.18905609756097608
Chrnb4,0.38121608969068804,1.0,1.0,1.0,0.5,0.5,0.4119117388760216,1.0,0.18086460752058345,0.19220566925115598,-0.015757926829268243
Chrnd,0.2178917842507085,1.0,1.0,1.0,0.5,0.5,0.26803008926488747,1.0,0.11768821405983677,0.12506781872053052,0.03396158536585325
Chrne,0.11149926830795953,1.0,1.0,1.0,0.5,0.5,0.15695335870773527,1.0,0.0689159956916304,0.07323735282212207,-0.05197987804878146
Chrng,0.02471307201004496,1.0,1.0,1.0,0.5,0.5,0.045023804441000924,0.4758323767590612,0.019769314517535764,0.021008943538315637,0.06050000000000111
Chst1,0.3686764970360031,1.0,1.0,1.0,0.5,0.5,0.4014674059502519,1.0,0.17627864893492098,0.18733214948850685,0.0031957317073167957
